ID,Section,Feature Name,Description (100 chars),Status,Complexity Estimate,Blocking Features
133,"Section 1","RLS policies for user-scoped tables","Orders; designs; cart_items; wishlists; wishlist_items; conversations; messages have RLS policies sc","FAILING","CRITICAL","All multi-tenant features"
134,"Section 1","RLS messaging tables fixed (no USING(true))","messaging_channels; user_messaging_links; telegram_messages; whatsapp_messages have proper RLS polic","FAILING","CRITICAL","All multi-tenant features"
135,"Section 1","RLS service_role only for internal tables","agent_sessions; agent_events; agent_daily_costs; heartbeat_events; soul_change_log have RLS enabled ","FAILING","CRITICAL","All multi-tenant features"
136,"Section 1","Content Security Policy headers in admin","admin/next.config.ts includes Content Security Policy headers. Blocks inline scripts; restricts sour","FAILING","CRITICAL","All multi-tenant features"
137,"Section 1","Forged admin cookie rejected by iron-session","Manually crafted admin-session cookie with JSON {role:admin} is rejected. Only iron-session signed+e","FAILING","CRITICAL","All multi-tenant features"
138,"Section 1","withValidation Zod wrapper for admin mutations","admin/src/lib/validation.ts exports withValidation(schema) wrapper. Zod schemas exist for top 10 mut","FAILING","CRITICAL","All multi-tenant features"
139,"Section 1","Newsletter subscribers PII protection via RLS","newsletter_subscribers table has RLS enabled with proper policies protecting PII (email addresses).","FAILING","CRITICAL","All multi-tenant features"
140,"Section 2","Admin sidebar has 5 navigation groups","Sidebar component has organized nav groups: Operations (5 items); Content (4); AI & Agents (2); Mark","FAILING","CRITICAL","All multi-tenant features"
141,"Section 2","Typed React Query hooks for data fetching","admin/src/hooks/queries/ contains typed hooks: useProducts(); useOrders(); useCustomers(); etc. Usin","FAILING","CRITICAL","All multi-tenant features"
142,"Section 2","Admin search with debounce on list pages","Product; order; customer list pages have search input with 300ms debounce. Searches server-side.","FAILING","CRITICAL","All multi-tenant features"
143,"Section 2","Admin skeleton loading components","List pages show Skeleton loading states while data is being fetched. Uses shadcn/ui Skeleton compone","FAILING","CRITICAL","All multi-tenant features"
144,"Section 2","Admin accessibility (aria-labels and alt text)","Interactive elements have aria-labels; images have alt text; semantic HTML roles used across admin c","FAILING","CRITICAL","All multi-tenant features"
145,"Section 2","Admin SSE optimization (batch events, debounce toast)","SSEProvider batches events and debounces toast notifications to prevent notification flooding.","FAILING","CRITICAL","All multi-tenant features"
146,"Section 3","Auth FK constraint prevents orphaned records","public.users has FK constraint referencing auth.users(id) ON DELETE CASCADE. Prevents orphaned user ","FAILING","CRITICAL","All multi-tenant features"
147,"Section 3","Auth reconciliation script syncs existing users","Migration or script reconciles existing UUIDs between auth.users and public.users. No orphaned recor","FAILING","HIGH","All multi-tenant features"
148,"Section 3","Individual compound indexes verified with EXPLAIN","All 11 compound indexes from spec Block B exist: idx_orders_status_created; idx_orders_user_created;","FAILING","CRITICAL","All multi-tenant features"
149,"Section 3","Seed data separated from production migrations","supabase/seed.sql exists with test data. Production migrations contain DDL only; no INSERT of test r","FAILING","MEDIUM","All multi-tenant features"
150,"Section 3","pgvector HNSW index tuning parameters","documents.embedding uses HNSW index with tuned ef_construction and m parameters. Vector search laten","FAILING","CRITICAL","All multi-tenant features"
151,"Section 3","Table partitioning with auto-create cron","agent_events; messages; and audit_log partitioned by month. Cron auto-creates future partitions 3 mo","FAILING","CRITICAL","All multi-tenant features"
152,"Section 8","CI Stage 1: Lint and TypeScript check","CI pipeline Stage 1 runs eslint and tsc --noEmit for both frontend and admin projects.","FAILING","CRITICAL","All multi-tenant features"
153,"Section 8","CI Stage 2: Unit tests","CI pipeline Stage 2 runs vitest for frontend and admin; pytest for PodClaw.","FAILING","MEDIUM","All multi-tenant features"
154,"Section 8","CI Stage 3: Integration and Docker build","CI pipeline includes integration test stage and Docker build smoke test (docker compose build).","FAILING","MEDIUM","All multi-tenant features"
155,"Section 8","Branch protection requires CI pass","GitHub branch protection on main requires CI pipeline pass before merge. Direct pushes to main block","FAILING","CRITICAL","All multi-tenant features"
156,"Section 8","Frontend Vitest configured and tests pass","Frontend has vitest.config.ts; test scripts in package.json. Tests for Zod schemas; utility function","FAILING","MEDIUM","All multi-tenant features"
157,"Section 8","Playwright E2E specs for admin panel","Playwright test specs exist for admin panel: login flow; product CRUD; order management.","FAILING","MEDIUM","All multi-tenant features"
158,"Section 8","Playwright E2E for checkout flow","Playwright specs cover checkout flow: guest and authenticated paths; including Stripe redirect.","FAILING","CRITICAL","All multi-tenant features"
162,"Section 4","Breadcrumbs on shop and product pages","Shop and product detail pages have breadcrumb navigation: Home → Shop → Category → Product Name.","FAILING","CRITICAL","All multi-tenant features"
169,"Section 5","Products table has category_id FK column","products.category_id UUID references categories(id). Data migration populates category_id from VARCH","FAILING","HIGH","All multi-tenant features"
173,"Section 5","Category selector in admin product forms","Admin product create/edit forms include category selector dropdown populated from categories table.","FAILING","CRITICAL","All multi-tenant features"
175,"Section 6","Disabled agents persisted in Redis","_disabled_agents stored in Redis SET podclaw:disabled_agents. Survives PodClaw restart.","FAILING","CRITICAL","All multi-tenant features"
176,"Section 6","Task status tracking for manual agent runs","POST /agents/{name}/run returns task_id. GET /task/{id} shows status (queued/running/completed/faile","FAILING","CRITICAL","All multi-tenant features"
177,"Section 6","Custom Prometheus metrics for agents","GET /metrics includes custom metrics: agent_session_duration_seconds (Histogram); agent_daily_cost_e","FAILING","CRITICAL","All multi-tenant features"
178,"Section 6","Health endpoint includes Redis check","GET /api/health (deep check) includes Redis connectivity status. Returns degraded if Redis unavailab","FAILING","CRITICAL","All multi-tenant features"
179,"Section 6","Admin cost dashboard per agent","Admin /agent page shows cost dashboard: daily/weekly/monthly spend per agent with visual breakdown.","FAILING","CRITICAL","All multi-tenant features"
180,"Section 6","Production governor tests exist","podclaw/tests/test_production_governor.py has tests for budget enforcement; kill switches; and escal","FAILING","MEDIUM","All multi-tenant features"
181,"Section 6","Chat session tests exist","podclaw/tests/test_chat_session.py has tests for message handling; streaming; and tool routing.","FAILING","MEDIUM","All multi-tenant features"
182,"Section 6","Soul evolution tests exist","podclaw/tests/test_soul_evolution.py has tests for proposal generation; constraint validation; and m","FAILING","MEDIUM","All multi-tenant features"
183,"Section 7","MCP X-RateLimit headers on tool responses","MCP tool responses include X-RateLimit-Limit; X-RateLimit-Remaining; X-RateLimit-Reset headers.","FAILING","CRITICAL","All multi-tenant features"
184,"Section 7","MCP session cleanup expires after 1h","Unused MCP sessions expire after 1 hour. Session metadata in Redis with TTL.","FAILING","CRITICAL","All multi-tenant features"
185,"Section 7","MCP JSON-RPC standardized error codes","All MCP tool errors use standard JSON-RPC error codes with descriptive messages.","FAILING","CRITICAL","All multi-tenant features"
186,"Section 7","MCP input length limits on Zod schemas","All MCP tool Zod schemas include max length limits (1000 chars for text fields).","FAILING","CRITICAL","All multi-tenant features"
187,"Section 7","MCP OAuth flow tests","MCP server Vitest tests cover OAuth 2.1 flow: authorize; token; revoke; PKCE S256 validation.","FAILING","MEDIUM","All multi-tenant features"
188,"Section 7","MCP tool tests for 5 main tools","Vitest tests exist for: search_products; get_cart; create_checkout; get_order_status; get_my_profile","FAILING","MEDIUM","All multi-tenant features"
189,"Section 13","Delivery notification email on shipment","When Printify webhook reports order:delivered; system sends delivery notification email to customer ","FAILING","CRITICAL","All multi-tenant features"
190,"Section 13","Multiple shipments support in webhook","Printify webhook handler iterates shipments[] array. Each package generates separate tracking notifi","FAILING","CRITICAL","All multi-tenant features"
191,"Section 13","order:updated and order:failed Printify handlers","Printify webhook handles order:updated (printify_status update) and order:failed (auto-refund + noti","FAILING","CRITICAL","All multi-tenant features"
192,"Section 13","Printify connector respects Retry-After header","PrintifyMCPConnector parses Retry-After header on 429 responses. Dynamic timeouts: 30s reads; 60s wr","FAILING","CRITICAL","All multi-tenant features"
193,"Section 13","Cart validates product availability on open","When user opens cart; product availability is re-validated against current stock/status. Unavailable","FAILING","CRITICAL","All multi-tenant features"
194,"Section 13","Audit log on product deletion","Product deletion records actor; reason; timestamp in audit_log table. Products use soft delete (dele","FAILING","CRITICAL","All multi-tenant features"
195,"Section 13","Admin approval queue for borderline products","Products with QA score 6-7 set to 'pending_review'. Admin products page has pending_review filter wi","FAILING","CRITICAL","All multi-tenant features"
196,"Section 13","Printify test: retry scheduler and refund","Test file verifies: mock Printify API failure → retry scheduler activates → eventual refund after ma","FAILING","MEDIUM","All multi-tenant features"
197,"Section 13","Printify test: UPSERT concurrent sync","Test verifies two concurrent variant syncs produce no data loss. UPSERT pattern preserves all varian","FAILING","MEDIUM","All multi-tenant features"
198,"Section 14","VAPID_SUBJECT updated to Skapara email","push-notifications.ts uses process.env.VAPID_SUBJECT or 'mailto:push@skapara.com' (not 'mailto:push@","FAILING","CRITICAL","All multi-tenant features"
199,"Section 14","NEXT_PUBLIC_BRAND_NAME env vars configured","admin/.env.local and .env.example include NEXT_PUBLIC_BRAND_NAME=Skapara.","FAILING","CRITICAL","All multi-tenant features"
200,"Section 14","Favicon and apple-touch-icon links in root layout","Root layout includes <link rel='icon' href='/favicon.ico'> and <link rel='apple-touch-icon' href='/a","FAILING","CRITICAL","All multi-tenant features"
201,"Section 14","Brand config public API route exists","GET /api/storefront/brand-config returns public brand info: brand_name; brand_tagline; logo URLs; su","FAILING","CRITICAL","All multi-tenant features"
202,"Section 14","OG image verified present and referenced","og-image.png exists at frontend/public/brand/og-image.png (1200x630). Referenced in OpenGraph metada","FAILING","CRITICAL","All multi-tenant features"
203,"Section 9","Prometheus service in Docker Compose","docker-compose.yml includes Prometheus service with scrape config targeting all application services","FAILING","CRITICAL","All multi-tenant features"
204,"Section 9","Grafana service with pre-built dashboards","docker-compose.yml includes Grafana service with provisioned dashboards for system; PodClaw; ecommer","FAILING","CRITICAL","All multi-tenant features"
205,"Section 9","Loki service for log aggregation","docker-compose.yml includes Loki service. Docker logging driver configured to send logs to Loki.","FAILING","CRITICAL","All multi-tenant features"
206,"Section 9","cAdvisor for container resource metrics","docker-compose.yml includes cAdvisor service exposing container CPU; RAM; network metrics to Prometh","FAILING","CRITICAL","All multi-tenant features"
207,"Section 9","Frontend /api/metrics endpoint","Frontend exposes GET /api/metrics in Prometheus text format with request counts; latencies; external","FAILING","CRITICAL","All multi-tenant features"
208,"Section 9","Admin /api/metrics endpoint","Admin exposes GET /api/metrics in Prometheus text format with request counts and page load metrics.","FAILING","CRITICAL","All multi-tenant features"
209,"Section 9","Observability RAM budget under 768MB","Total RAM increase from observability stack (Prometheus + Grafana + Loki + cAdvisor) is under 768MB.","FAILING","CRITICAL","All multi-tenant features"
210,"Section 9","Grafana alert rules for critical conditions","Grafana alerting configured with rules: service down >5min; PodClaw budget >90%; error rate >5%; mem","FAILING","CRITICAL","All multi-tenant features"
211,"Section 10","Newsletter confirmation endpoint","GET /api/newsletter/confirm/[token] confirms subscription. Sets confirmed_at in newsletter_subscribe","FAILING","CRITICAL","All multi-tenant features"
212,"Section 10","Newsletter signup form on footer and landing","Footer component and landing page include newsletter email signup form. Form submits to /api/newslet","FAILING","CRITICAL","All multi-tenant features"
213,"Section 10","Trust signals on homepage","Homepage shows trust signal section: total orders; average rating; shipping countries. Data from Sup","FAILING","CRITICAL","All multi-tenant features"
214,"Section 10","Reviews use real auth.uid (no mockUserId)","ReviewForm.tsx uses real authenticated user ID from session; not mockUserId placeholder.","FAILING","CRITICAL","All multi-tenant features"
215,"Section 10","Admin review moderation","Admin can approve/reject reviews. Reviews with photos require moderation before display.","FAILING","CRITICAL","All multi-tenant features"
216,"Section 10","Recently viewed products tracking","Client-side recently viewed tracking using localStorage (max 20 products). Displayed on product page","FAILING","CRITICAL","All multi-tenant features"
217,"Section 10","Abandoned cart tracked in Supabase table","abandoned_carts table tracks cart abandonment: user_id; cart_snapshot JSONB; abandoned_at; email tim","FAILING","CRITICAL","All multi-tenant features"
218,"Section 10","Abandoned cart recovery cron sends localized emails","Cron job (every 1h) finds abandoned carts >1h. Second email at 24h. Emails localized (en/es/de).","FAILING","CRITICAL","All multi-tenant features"
219,"Section 10","Blog table and admin editor","blog_posts table exists with multilingual columns (title_en/es/de; content_en/es/de; status; slug). ","FAILING","CRITICAL","All multi-tenant features"
220,"Section 10","Share buttons on product pages","Product pages have share buttons using native Web Share API with fallback links for social media.","FAILING","CRITICAL","All multi-tenant features"
221,"Section 10","Social links from brand_config (not generic URLs)","Footer social links come from brand_config.social_links JSONB (not hardcoded facebook.com; twitter.c","FAILING","CRITICAL","All multi-tenant features"
222,"Section 10","Drip emails localized in 3 languages","Email drip templates exist for en; es; de. Drip cron sends in user's locale.","FAILING","CRITICAL","All multi-tenant features"
223,"Section 12","6 specific ADRs written","docs/adr/ contains ADR-0001 through ADR-0006 for key decisions: iron-session; route groups; dual bud","FAILING","CRITICAL","All multi-tenant features"
224,"Section 12","FastAPI OpenAPI docs accessible at /docs","PodClaw Bridge API auto-generated OpenAPI docs accessible at http://localhost:8000/docs.","FAILING","CRITICAL","All multi-tenant features"
225,"Section 12","Deployment runbook exists","docs/runbooks/deployment.md covers troubleshooting; rollback; scaling procedures.","FAILING","CRITICAL","All multi-tenant features"
226,"Section 12","Database ERD with table relationships","docs/database-erd.md (or .svg) visualizes all tables with their relationships.","FAILING","CRITICAL","All multi-tenant features"
227,"Section 12","Table descriptions with column semantics","Database documentation includes column-level descriptions for key tables explaining data semantics.","FAILING","CRITICAL","All multi-tenant features"
228,"Section 11","tenant_id column on all 64 tables","All 64 existing tables have tenant_id UUID NOT NULL column with FK to tenants(id). Migration in 3 ph","FAILING","HIGH","All multi-tenant features"
229,"Section 11","RLS policies include tenant_id dimension","All RLS policies updated to include tenant_id check: USING(tenant_id = (auth.jwt() ->> 'tenant_id'):","FAILING","CRITICAL","All multi-tenant features"
230,"Section 11","Supabase Auth hook injects tenant_id in JWT","Custom access token hook adds tenant_id claim to JWT. Maps user → tenant via user_tenants junction t","FAILING","CRITICAL","All multi-tenant features"
231,"Section 11","Store themes scoped per tenant","store_themes UNIQUE constraint changed from UNIQUE(is_active=true) global to UNIQUE(tenant_id; is_ac","FAILING","CRITICAL","All multi-tenant features"
232,"Section 11","Per-tenant PodClaw configuration","tenant_configs table stores per-tenant agent settings: daily_budget; allowed_tools; model; max_sessi","FAILING","CRITICAL","All multi-tenant features"
233,"Section 11","Per-tenant Stripe Connect accounts","Each tenant has own Stripe connected account. Checkout creates PaymentIntent with transfer_data to t","FAILING","CRITICAL","All multi-tenant features"
234,"Section 11","Per-tenant Printify shop mapping","tenant_configs stores 'printify:shop_id' and 'printify:api_token' per tenant. Connector resolves per","FAILING","CRITICAL","All multi-tenant features"
235,"Section 11","Caddy on-demand TLS for custom domains","Caddyfile uses on_demand_tls with ask endpoint /api/verify-domain. Automatic ACME certificates per t","FAILING","CRITICAL","All multi-tenant features"
236,"Section 11","Tenant resolution middleware","frontend/src/middleware.ts resolves tenant from: 1) custom domain lookup; 2) subdomain lookup; 3) 40","FAILING","CRITICAL","All multi-tenant features"
237,"Section 11","Admin tenant switcher","Platform admin can switch between tenants. Regular tenant admin sees only their tenant.","FAILING","CRITICAL","All multi-tenant features"
238,"Section 11","Platform billing plans with feature gates","Three plans (Free/Starter/Pro) with feature gates: product limits; agent sessions; custom domain; st","FAILING","CRITICAL","All multi-tenant features"
239,"Section 11","Tenant creation wizard end-to-end","Wizard with 5 steps: name/slug/domain → branding → Stripe Connect → Printify → plan selection. Creat","FAILING","CRITICAL","All multi-tenant features"
240,"Section 11","Cross-tenant data isolation verified","Test: 100 random queries across all APIs verified to return only own-tenant data. Zero cross-tenant ","FAILING","MEDIUM","All multi-tenant features"
241,"Section 11","Coupons scoped by tenant","Coupons table has tenant_id. UNIQUE(tenant_id; code) prevents cross-tenant code collisions.","FAILING","CRITICAL","All multi-tenant features"
242,"Section 11","Storage isolation per tenant","Supabase storage uses one bucket per tenant (tenant-{slug}). RLS on storage.objects filters by tenan","FAILING","CRITICAL","All multi-tenant features"
243,"Section 11","Tenant health dashboard","Admin has per-tenant metrics: orders/day; revenue; agent cost; storage used. Cross-tenant overview f","FAILING","CRITICAL","All multi-tenant features"
244,"Section 15","Personalization saves to DB","Personalizing text and clicking Apply calls POST /api/designs/personalize; creating a row in persona","FAILING","HIGH",""
245,"Section 15","Cart receives personalization_id","addToCart() accepts personalizationId parameter. After personalizing and adding to cart; cart_items ","FAILING","HIGH",""
246,"Section 15","Product color passed to preview","ProductPersonalizer receives productColor prop from DetailPanel and ProductDetailClient. Selecting a","FAILING","HIGH",""
247,"Section 15","Consistent SIZE_MAP ratios","All font size maps (CSS preview; Canvas preview; production) use the same ratio imported from print-","FAILING","HIGH",""
248,"Section 15","Consistent lineHeight","Multi-line text has consistent line spacing (1.3) across CSS preview; Canvas preview; and production","FAILING","HIGH",""
249,"Section 15","Surcharge persists in DB","Personalization surcharge_amount is stored in personalizations table. After page refresh; surcharge ","FAILING","HIGH",""
250,"Section 15","12 fonts with script/handwriting","Font selector shows 12+ fonts grouped by category. Includes script fonts (Pacifico; Dancing Script; ","FAILING","HIGH",""
251,"Section 15","Color swatches grid","Color picker shows a grid of 16 curated color swatches plus a custom hex input. Clicking a swatch up","FAILING","HIGH",""
252,"Section 15","Text alignment (left/center/right)","Text alignment buttons allow left; center; and right alignment. Alignment applies to CSS preview; se","FAILING","HIGH",""
253,"Section 15","Safe zone visualization","Print area preview shows dashed border lines inside representing safe margins (10% inset). Label ind","FAILING","HIGH",""
254,"Section 15","Contrast warning","Warning alert appears when font color has low contrast against product color (white text on white pr","FAILING","HIGH",""
255,"Section 15","Image upload with rembg","Image tab in personalizer allows uploading PNG/JPG. Remove Background button calls rembg sidecar. Up","FAILING","HIGH",""
256,"Section 15","Checkout creates Printify temp product","Personalized product in checkout flow creates a Printify temp product with correct text or image ove","FAILING","HIGH",""
257,"Section 15","Production DPI proportional sizing","Production font size scales proportionally to print area dimensions using PRODUCTION_SIZE_RATIOS (no","FAILING","HIGH",""
258,"Section 15","Personalization history","Authenticated users see Recent Personalizations section in dialog showing last 10 saved personalizat","FAILING","HIGH",""
259,"Section 16","design_sessions table","design_sessions table exists with columns: id (uuid PK); user_id (FK auth.users); product_id (FK pro","FAILING","CRITICAL","Section 18, 19 features depend on this"
260,"Section 16","ai_generations table","ai_generations table exists with columns: id; session_id (FK); user_id (FK); prompt; engineered_prom","FAILING","CRITICAL","Section 18, 19 features depend on this"
261,"Section 16","user_design_assets table","user_design_assets table exists with columns: id; user_id; original_url; processed_url; thumbnail_ur","FAILING","CRITICAL","Section 18, 19 features depend on this"
262,"Section 16","design_compositions table with schema_version","design_compositions table exists with columns including schema_version (INTEGER NOT NULL DEFAULT 1);","FAILING","CRITICAL","Section 18, 19 features depend on this"
263,"Section 16","cart_items composition_id FK","cart_items table has composition_id column (UUID; FK to design_compositions). Partial index idx_cart","FAILING","CRITICAL","Section 18, 19 features depend on this"
264,"Section 16","RLS on all design studio tables","Row Level Security enabled on design_sessions; ai_generations; user_design_assets; design_compositio","FAILING","CRITICAL","Section 18, 19 features depend on this"
265,"Section 16","AI design orchestrator","ai-design-orchestrator.ts exists at frontend/src/lib/. Exports orchestrateDesign(userPrompt; product","FAILING","CRITICAL","Section 18, 19 features depend on this"
266,"Section 16","POST /api/designs/ai-generate endpoint","API endpoint accepts { prompt; style_preset?; product_id; product_type }. Requires auth; rate-limite","FAILING","CRITICAL","Section 18, 19 features depend on this"
267,"Section 16","Design refinement endpoint","POST /api/designs/ai-generate/refine accepts { generation_id; refinement_prompt }. Loads parent gene","FAILING","CRITICAL","Section 18, 19 features depend on this"
268,"Section 16","Style presets library","design-presets.ts exports 8 style presets (minimalist; vintage; geometric; watercolor; pop-art; line","FAILING","CRITICAL","Section 18, 19 features depend on this"
269,"Section 16","Server-side cost guard","design-cost-guard.ts exports checkCostGuard(userId; tier; estimatedCost). Returns { allowed: false }","FAILING","CRITICAL","Section 18, 19 features depend on this"
270,"Section 16","Usage limiter extended with design actions","usage-limiter.ts USAGE_TIERS includes design:ai-generate (0/5/50 monthly); design:refine (0/10/100 m","FAILING","CRITICAL","Section 18, 19 features depend on this"
271,"Section 16","DesignStudio dialog component","DesignStudio.tsx at frontend/src/components/products/ renders Dialog (desktop) or Sheet (mobile) wit","FAILING","CRITICAL","Section 18, 19 features depend on this"
272,"Section 16","AIPromptEditor and StyleSelector components","AIPromptEditor.tsx renders prompt input with Generate button and loading state. StyleSelector.tsx re","FAILING","CRITICAL","Section 18, 19 features depend on this"
273,"Section 16","AIPreviewCanvas component","AIPreviewCanvas.tsx overlays generated AI design image on product mockup using CSS positioning from ","FAILING","CRITICAL","Section 18, 19 features depend on this"
274,"Section 16","AuthGateOverlay and GenerationCostBadge","AuthGateOverlay shows translucent overlay with sign-in CTA on AI/Upload tabs for anonymous users. Ge","FAILING","CRITICAL","Section 18, 19 features depend on this"
275,"Section 16","DesignStudio mobile responsive","DesignStudio uses Sheet component on mobile (<768px) with stacked tabs. Touch targets minimum 44px. ","FAILING","CRITICAL","Section 18, 19 features depend on this"
276,"Section 16","Design Studio i18n","All Design Studio UI strings have i18n keys in en.json; es.json; de.json under designStudio namespac","FAILING","CRITICAL","Section 18, 19 features depend on this"
277,"Section 16","Composition API endpoint","POST /api/designs/compose accepts { layers[]; product_type; product_id? }. Creates design_compositio","FAILING","CRITICAL","Section 18, 19 features depend on this"
278,"Section 16","Server-side composition renderer","composition-renderer.ts uses Sharp to composite multiple layers (AI design; text; upload) onto produ","FAILING","CRITICAL","Section 18, 19 features depend on this"
279,"Section 16","Production export for Printify","exportForProduction(compositionId) maps 1024x1024 preview to Printify production dimensions. Stores ","FAILING","CRITICAL","Section 18, 19 features depend on this"
280,"Section 16","Checkout handles compositions","create-session/route.ts checks cart_items.composition_id. If present; fetches production_url from de","FAILING","CRITICAL","Section 18, 19 features depend on this"
281,"Section 16","addToCart accepts compositionId","useCart hook addToCart() accepts compositionId parameter. Cart API stores composition_id in cart_ite","FAILING","CRITICAL","Section 18, 19 features depend on this"
282,"Section 16","Design history API","GET /api/designs/history returns user's recent AI generations (last 10 by default). Supports ?limit ","FAILING","CRITICAL","Section 18, 19 features depend on this"
283,"Section 16","DesignHistoryPanel component","DesignHistoryPanel.tsx shows horizontal scroll of recent design thumbnails in DesignStudio AI tab. C","FAILING","CRITICAL","Section 18, 19 features depend on this"
284,"Section 16","Chat tool ai_design_generate","Chat tool #25 ai_design_generate accepts { prompt; stylePreset?; productId? }. Generates design via ","FAILING","CRITICAL","Section 18, 19 features depend on this"
285,"Section 16","Chat tool apply_design_to_product","Chat tool #26 apply_design_to_product with needsApproval:true. Creates composition; shows approval c","FAILING","CRITICAL","Section 18, 19 features depend on this"
286,"Section 16","DesignContext shared state","DesignContext provider shares state between product page and chat. When viewing a product; chat know","FAILING","CRITICAL","Section 18, 19 features depend on this"
287,"Section 18","Checkout placeholder eliminated + TrustBadgesStrip","CheckoutView has NO visible placeholder text removed. TrustBadgesStrip component renders payment log","FAILING","MEDIUM",""
288,"Section 18","Coupon persistence cart to checkout via sessionStorage","When user applies coupon in cart and clicks Proceed to Checkout; coupon code and discount are saved ","FAILING","MEDIUM",""
289,"Section 18","Cart and Checkout i18n fix (zero hardcoded English)","CartView.tsx and CheckoutView.tsx have ZERO hardcoded English strings. All UI text uses useTranslati","FAILING","MEDIUM",""
290,"Section 18","compare_at_price + StrikethroughPrice component","products table has compare_at_price_cents column (INTEGER; nullable; CHECK > price_cents). Strikethr","FAILING","MEDIUM",""
291,"Section 18","ProductBadge + product_labels table","product_labels table exists with label_type CHECK (trending/bestseller/new/sale/limited). ProductBad","FAILING","MEDIUM",""
292,"Section 18","Cross-sell on product detail using association_rules","GET /api/products/[id]/cross-sell queries existing association_rules table. FrequentlyBoughtTogether","FAILING","MEDIUM",""
